km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
150000,1461,108.45,4.0,19.6,6.5,1.0,21.0,4.0,3,27,7,236,456,465,1,78,3,4,6,1,0,4315,1822,2673,475
17197,998,98.63,3.0,20.7,8.01,1.0,27.0,4.0,2,9,2,78,1730,18,1,8,3,1,6,4,1,3805,1680,2450,267
62931,1497,117.3,4.0,18.0,7.72,2.0,21.0,3.0,3,8,8,63,2096,469,1,14,3,4,6,4,0,4440,1695,2600,510
90000,1798,138.1,4.0,14.53,5.0,1.0,18.0,3.0,3,30,8,281,1123,227,1,78,3,4,6,4,1,4620,1776,2700,475
21023,1197,108.62,3.0,16.82,11.03,1.0,26.0,4.0,2,17,7,146,1898,53,1,98,3,4,6,4,1,3995,1821,2600,418
43000,1364,86.79,4.0,21.43,14.9,2.0,23.0,4.0,3,30,8,281,215,205,1,119,3,4,6,1,1,4620,1775,2700,470
110505,1248,74.02,4.0,28.4,6.27,1.0,22.0,4.0,3,20,8,180,789,220,1,102,3,4,6,1,0,3995,1735,2450,378
78892,1591,121.3,4.0,17.0,8.35,1.0,23.0,4.0,3,9,8,86,1785,450,1,102,3,4,6,4,1,4440,1729,2600,480
59000,1968,187.74,4.0,18.53,20.9,1.0,20.0,4.0,3,0,8,4,688,267,1,119,3,4,6,1,0,4933,1874,2912,530
90058,1199,82.4,4.0,18.2,3.5,2.0,19.0,4.0,3,2,8,32,108,360,1,119,3,4,6,4,1,4249,1690,2465,370
69000,2967,241.4,6.0,13.22,21.0,1.0,20.0,4.0,5,0,7,9,644,386,1,119,3,4,4,1,0,4629,2089,2807,540
67000,1498,98.6,4.0,25.5,9.25,2.0,24.0,4.0,3,8,7,69,2106,471,1,98,3,1,6,1,1,3999,1734,2555,363
80000,1248,88.5,4.0,28.09,8.5,1.0,22.0,4.0,3,20,8,163,184,216,1,78,3,4,6,1,1,4490,1730,2650,510
80000,1248,88.5,4.0,28.09,8.5,1.0,22.0,4.0,3,20,8,163,184,216,1,78,3,4,6,1,1,4490,1730,2650,510
57000,2967,245.0,4.0,14.75,66.0,2.0,25.0,4.0,3,0,7,10,715,431,1,119,5,4,4,1,0,5052,2212,2994,890
800000,2393,147.8,7.0,13.68,21.5,2.0,23.0,4.0,6,30,4,290,555,111,1,8,6,4,8,1,1,4735,1830,2750,211
5500000,2143,167.62,4.0,19.27,36.0,2.0,23.0,4.0,3,21,8,197,898,278,1,9,3,4,8,1,0,4686,2020,2840,480
27000,2993,258.0,6.0,16.46,68.0,2.0,22.0,4.0,5,1,8,19,1622,236,1,119,3,4,8,1,0,5219,2142,3210,500
38334,1198,108.5,3.0,17.0,7.07,2.0,23.0,4.0,2,29,7,265,124,354,1,102,3,4,6,4,1,3994,1811,2498,350
36992,999,75.1,3.0,17.74,6.8,1.0,24.0,4.0,2,31,2,300,11,21,1,98,3,1,6,4,1,3971,1682,2469,280
50000,2993,258.0,6.0,16.55,37.5,2.0,21.0,3.0,5,1,7,21,2155,507,1,98,3,4,1,1,0,4657,2089,2810,485
34596,1956,167.67,4.0,14.08,20.39,2.0,26.0,4.0,3,29,7,264,1995,321,1,102,4,4,6,1,0,4661,1894,2741,73
84564,1198,67.05,3.0,19.02,4.01,1.0,24.0,4.0,2,4,2,37,778,338,1,119,3,4,6,4,1,3788,1636,2450,265
60001,2143,204.0,4.0,13.0,21.5,2.0,18.0,3.0,3,21,8,200,1066,276,1,102,3,4,8,1,0,4879,1854,2874,540
23462,1086,68.0,4.0,20.3,5.05,3.0,23.0,4.0,3,9,2,81,1342,30,1,119,3,4,6,4,1,3610,1645,2400,235
13000,999,113.98,3.0,18.41,15.99,1.0,27.0,4.0,2,31,7,302,50,23,1,98,3,1,6,4,0,4221,1760,2651,385
54658,1498,78.9,4.0,23.8,8.3,2.0,24.0,4.0,3,8,8,59,1750,471,1,98,3,4,6,1,0,3995,1695,2470,420
34164,1197,108.62,3.0,16.82,10.36,1.0,25.0,4.0,2,17,7,146,1898,53,1,51,3,4,6,4,1,3995,1821,2600,418
10000,1497,113.43,4.0,16.8,15.95,1.0,27.0,4.0,3,13,7,107,1196,362,1,50,3,1,6,4,1,4315,1800,2610,433
70000,1368,88.7,4.0,14.6,1.0,1.0,15.0,2.0,3,5,2,45,222,253,1,98,3,4,6,4,1,3987,1687,2510,280
37000,1197,81.86,4.0,17.52,8.25,1.0,25.0,4.0,3,9,7,85,1486,315,1,9,3,1,6,4,1,3995,1770,2500,350
20000,2198,182.38,4.0,17.0,29.0,2.0,27.0,4.0,3,17,7,148,821,141,1,102,5,4,4,1,0,4695,1890,2750,418
53967,1197,83.1,4.0,21.4,5.5,2.0,21.0,4.0,3,20,2,157,69,455,1,9,3,4,6,4,1,3995,1745,2520,339
52700,1197,78.9,4.0,20.36,2.99,2.0,16.0,4.0,3,9,2,89,1333,319,1,98,3,4,6,4,1,3585,1595,2380,267
60000,1198,108.5,3.0,17.0,7.5,1.0,23.0,4.0,2,29,7,265,136,354,1,78,3,4,6,4,0,3994,1811,2498,350
53967,1197,83.1,4.0,21.4,5.5,2.0,21.0,4.0,3,20,2,157,69,455,1,9,3,4,6,4,1,3995,1745,2520,339
99225,1199,88.76,4.0,18.6,3.75,2.0,19.0,3.0,3,8,8,59,1057,476,1,115,3,1,6,4,1,3995,1695,2470,420
60000,1368,90.0,4.0,16.0,2.65,1.0,16.0,3.0,3,5,8,43,1092,257,1,102,3,4,6,4,1,4560,1730,2603,461
48220,1199,88.5,4.0,17.1,8.08,1.0,25.0,4.0,3,8,2,66,1794,43,1,98,3,1,6,4,0,3989,1694,2530,354
72024,1199,88.7,4.0,18.7,5.42,1.0,21.0,4.0,3,8,2,66,171,476,1,98,3,4,6,4,1,3955,1694,2530,354
80000,1198,86.7,4.0,15.5,5.29,1.0,21.0,4.0,3,8,8,59,1493,476,1,78,3,4,6,4,0,3990,1680,2405,400
78735,1199,74.0,3.0,16.2,6.84,1.0,22.0,4.0,2,31,2,300,117,332,1,8,3,4,6,4,1,3971,1682,2469,280
72955,1498,98.96,4.0,23.0,8.13,3.0,23.0,3.0,3,6,7,50,269,380,1,98,3,4,6,1,1,3998,1765,2519,352
40000,1373,91.1,4.0,19.12,6.5,1.0,20.0,4.0,3,20,8,163,204,478,1,78,3,4,6,4,0,4490,1730,2650,510
14037,1368,160.77,4.0,14.3,18.02,2.0,26.0,4.0,3,12,7,101,240,67,1,50,3,4,2,4,1,4405,1818,2636,418
29000,1197,81.86,4.0,18.6,7.45,2.0,24.0,4.0,3,9,2,90,1352,320,1,102,3,4,6,4,1,3985,1734,2570,285
69864,1197,83.1,4.0,21.4,6.19,1.0,22.0,4.0,3,20,2,157,175,455,1,102,3,4,6,4,1,3995,1745,2520,339
35739,1197,81.86,4.0,20.14,6.5,1.0,24.0,4.0,3,9,8,87,166,52,1,102,3,4,6,4,1,3995,1660,2425,407
120000,1199,88.7,4.0,19.0,5.0,1.0,21.0,3.0,3,8,2,66,160,476,1,78,3,4,6,4,0,3955,1694,2530,354
18000,1248,88.5,4.0,24.52,11.45,2.0,24.0,4.0,3,20,4,165,1532,207,1,102,5,4,6,1,1,4296,1695,2740,135
21000,1956,167.67,4.0,16.35,16.0,2.0,24.0,4.0,3,29,7,256,1958,321,1,77,3,4,6,1,1,4598,1894,2741,425
70404,1197,83.1,4.0,21.4,5.4,2.0,21.0,4.0,3,20,2,157,85,455,1,50,3,4,6,4,1,3995,1745,2520,339
