km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
43000,1498,88.5,4.0,20.14,5.6,2.0,19.0,4.0,3,31,2,300,325,381,1,9,3,4,6,1,1,3971,1682,2469,280
27652,1496,105.94,4.0,17.1,7.02,1.0,24.0,3.0,3,30,8,295,1222,70,1,98,3,4,6,4,1,4425,1730,2550,476
23539,999,71.01,3.0,20.0,6.56,1.0,26.0,4.0,2,27,4,243,1451,278,1,78,5,1,6,4,1,3991,1739,2425,84
50000,1373,91.1,4.0,20.73,5.25,2.0,20.0,4.0,3,20,8,163,1847,478,1,14,3,4,6,4,1,4490,1730,2650,510
18861,998,65.71,3.0,24.39,3.57,2.0,22.0,3.0,2,20,2,156,1806,296,1,78,3,4,6,4,1,3530,1490,2380,214
41138,1197,81.8,4.0,20.4,5.12,1.0,22.0,4.0,3,20,2,179,1839,291,1,102,3,4,6,4,1,3840,1735,2450,204
55039,1086,68.05,4.0,19.81,2.5,2.0,17.0,4.0,3,9,2,89,1096,265,1,102,3,4,6,4,1,3585,1595,2380,225
41361,1197,81.86,4.0,18.6,7.0,1.0,23.0,3.0,3,9,2,90,865,320,1,102,3,4,6,4,1,3985,1734,2570,285
81037,1498,98.96,4.0,23.0,5.35,2.0,20.0,4.0,3,6,7,50,273,380,1,119,3,4,6,1,1,3998,1765,2519,352
28897,1199,88.7,4.0,19.0,6.41,2.0,22.0,3.0,3,8,2,66,160,476,1,98,3,4,6,4,0,3955,1694,2530,354
46308,1198,82.0,3.0,18.15,3.39,2.0,21.0,3.0,2,17,7,133,2124,487,1,9,4,4,6,4,1,3675,1705,2385,243
80033,1086,81.8,4.0,21.0,1.7,1.0,14.0,4.0,3,9,2,82,884,278,1,60,3,4,6,4,1,3995,1695,2425,267
15000,1995,187.74,4.0,19.19,26.5,2.0,20.0,3.0,3,22,7,218,952,236,1,119,3,4,4,1,0,4299,1822,2595,450
100056,1197,81.8,4.0,20.52,3.1,2.0,17.0,4.0,3,20,2,184,1807,297,1,9,3,4,6,4,1,3655,1620,2435,341
90062,1197,81.86,4.0,18.6,7.25,2.0,23.0,4.0,3,9,2,90,861,320,1,50,3,4,6,4,1,3985,1734,2570,285
80030,1599,104.0,4.0,17.4,1.15,2.0,10.0,2.0,3,2,8,31,360,278,1,8,3,4,6,4,1,4500,1725,2600,461
90042,1493,100.0,3.0,18.49,6.45,2.0,21.0,4.0,2,17,7,142,1696,495,1,98,5,4,8,1,0,3995,1835,2680,384
78030,1197,81.8,4.0,20.52,4.4,2.0,22.0,4.0,3,20,2,184,1807,297,1,14,3,4,6,4,1,3655,1620,2435,341
55000,1995,184.0,4.0,16.09,16.5,2.0,18.0,3.0,3,1,7,21,2152,505,1,119,3,4,1,1,0,4648,2098,2810,418
100049,2199,194.3,4.0,13.01,9.75,2.0,19.0,4.0,3,9,7,80,635,201,1,98,5,4,6,1,0,4690,1880,2700,382
138033,2499,78.9,4.0,14.8,5.35,1.0,15.0,4.0,3,2,7,34,636,278,1,98,5,4,0,1,1,4435,1680,2685,418
14126,1198,67.05,3.0,19.02,4.33,2.0,23.0,4.0,2,4,4,38,1679,339,1,78,5,1,6,4,1,3995,1636,2450,347
35464,1330,153.866,4.0,16.42,10.45,2.0,25.0,4.0,3,27,7,236,1456,63,1,14,3,4,6,4,1,4360,1822,2673,475
100036,2696,162.0,5.0,12.83,5.5,1.0,18.0,3.0,4,19,7,141,1445,349,1,8,5,4,1,1,1,4755,1900,2835,475
55161,1197,82.0,4.0,18.9,4.11,1.0,20.0,2.0,3,9,2,77,1640,320,1,77,3,4,6,4,1,3765,1660,2425,256
33771,1086,68.0,4.0,20.3,5.18,1.0,24.0,4.0,3,9,2,81,1646,30,1,78,3,4,6,4,0,3610,1645,2400,235
75011,1248,73.74,4.0,18.2,5.25,2.0,21.0,4.0,3,2,4,30,196,359,1,102,6,4,8,1,1,4305,1680,2720,195
41659,1591,121.3,4.0,17.01,6.47,1.0,21.0,4.0,3,9,8,86,407,450,1,102,3,4,6,4,1,4375,1700,2570,465
126055,2400,215.0,5.0,16.0,9.25,1.0,17.0,3.0,4,32,8,307,975,271,1,119,3,4,6,1,0,4851,2106,2835,480
19935,1199,83.81,3.0,20.3,6.45,1.0,25.0,4.0,2,29,8,275,1956,355,1,78,3,4,6,4,1,3992,1677,2450,419
61126,799,53.64,3.0,22.7,2.53,2.0,21.0,4.0,2,4,2,39,1486,7,1,102,3,4,0,4,1,3429,1560,2348,222
100043,2477,175.56,4.0,13.5,10.25,2.0,17.0,3.0,3,23,7,223,1600,223,1,102,5,4,1,1,1,4695,1815,2800,500
70034,2477,175.56,4.0,13.5,11.75,1.0,18.0,4.0,3,23,7,223,1634,223,1,102,5,4,1,1,1,4695,1815,2800,500
90068,1498,88.0,4.0,20.14,6.0,2.0,23.0,3.0,3,31,2,300,328,381,1,14,3,4,6,1,1,3971,1682,2469,280
86694,1197,81.86,4.0,19.1,4.05,1.0,20.0,4.0,3,9,8,87,101,320,1,98,3,4,6,4,1,3995,1660,2425,407
86000,2143,170.0,4.0,15.8,10.4,2.0,16.0,3.0,3,21,8,197,632,278,1,102,3,4,8,1,0,4596,1770,2760,475
79399,1373,91.1,4.0,20.73,5.85,2.0,20.0,4.0,3,20,8,163,1853,478,1,98,3,4,6,4,1,4490,1730,2650,510
86038,1968,140.0,4.0,16.55,11.75,1.0,17.0,4.0,3,0,8,3,510,278,1,119,3,4,6,1,0,4586,1772,2642,461
69863,998,67.1,3.0,18.9,3.85,1.0,20.0,4.0,2,20,2,184,1806,289,1,14,3,4,6,4,1,3595,1475,2400,267
2000022,2393,147.51,7.0,13.68,17.5,2.0,22.0,4.0,6,30,4,290,553,111,1,119,5,4,8,1,1,4735,1830,2750,300
133727,1197,78.9,4.0,20.36,3.1,1.0,18.0,4.0,3,9,2,89,1333,319,1,98,3,4,6,4,1,3585,1595,2380,267
85781,1591,121.3,4.0,13.0,9.16,2.0,21.0,4.0,3,9,7,73,418,450,1,119,3,4,6,4,0,4270,1780,2590,400
8837,1497,88.77,4.0,23.64,8.0,1.0,27.0,4.0,3,29,2,253,1925,84,1,9,3,1,6,1,1,3990,1755,2501,345
120057,1364,87.2,4.0,21.43,4.75,1.0,16.0,3.0,3,30,8,281,1020,363,1,46,3,4,6,1,1,4620,1776,2700,475
48527,1197,88.5,4.0,22.35,6.99,2.0,24.0,4.0,3,30,2,287,1742,37,1,9,3,4,6,4,1,3990,1745,2520,318
71096,1498,98.6,4.0,25.5,7.14,2.0,22.0,3.0,3,8,7,69,2106,471,1,14,3,1,6,1,1,3999,1734,2555,363
22000,1199,88.76,4.0,18.6,7.5,2.0,25.0,4.0,3,8,8,59,1801,476,1,102,3,1,6,4,1,3995,1695,2470,420
110054,1197,81.86,4.0,20.7,6.26,3.0,25.0,4.0,3,9,2,78,1640,35,1,9,3,1,6,4,1,3805,1680,2450,267
85028,1497,117.3,4.0,17.4,4.65,2.0,17.0,4.0,3,8,8,63,2099,469,1,50,3,4,6,4,1,4440,1695,2600,510
10990,1498,119.35,4.0,18.6,12.68,3.0,26.0,4.0,3,8,8,63,2035,458,1,102,3,1,6,4,1,4549,1748,2600,506
115484,1999,149.92,4.0,14.59,8.05,1.0,22.0,3.0,3,9,8,75,492,340,1,9,3,4,6,4,1,4570,1800,2700,420
80062,1968,138.08,4.0,17.67,4.75,1.0,16.0,3.0,3,28,7,252,1086,236,1,50,3,4,4,1,1,4223,1793,2578,416
80039,1598,103.5,4.0,20.5,3.75,1.0,17.0,4.0,3,28,8,249,414,400,1,119,3,4,6,1,1,4386,1699,2552,460
16473,998,65.71,3.0,21.7,5.1,1.0,25.0,4.0,2,20,2,176,1843,296,1,98,3,4,6,4,1,3565,1520,2380,267
8000,2998,335.26,6.0,11.24,93.5,2.0,27.0,4.0,5,1,7,23,2150,413,1,9,3,4,4,4,0,4922,2218,2975,418
53819,1197,83.1,4.0,21.4,6.6,1.0,22.0,4.0,3,20,2,157,84,455,1,119,3,4,6,4,0,3995,1745,2520,339
100060,2179,120.0,4.0,15.4,4.95,1.0,16.0,3.0,3,17,4,138,1777,278,1,119,6,4,0,1,1,4430,1817,2680,460
93000,1197,103.2,4.0,18.19,7.9,2.0,22.0,4.0,3,31,8,305,154,393,1,102,3,4,6,4,0,4390,1699,2553,494
82000,1248,88.76,4.0,20.77,6.9,2.0,18.0,4.0,3,20,4,165,1764,220,1,102,5,4,6,1,1,4265,1695,2740,135
100057,1995,190.0,4.0,18.12,14.5,1.0,18.0,4.0,3,1,8,17,749,236,1,9,3,4,8,1,0,4907,2102,2968,520
100425,1498,108.62,4.0,21.66,5.7,1.0,21.0,4.0,3,31,8,296,328,381,1,102,3,4,6,1,1,3995,1682,2470,330
102497,1582,126.2,4.0,22.0,8.27,3.0,23.0,4.0,3,9,8,86,923,426,1,8,3,4,6,1,1,4440,1729,2600,480
97942,1496,88.73,4.0,17.6,3.45,1.0,16.0,3.0,3,30,8,282,1123,344,1,98,3,4,6,4,1,3995,1695,2425,461
78423,999,75.0,3.0,18.78,6.5,1.0,24.0,4.0,2,31,2,300,14,332,1,9,3,4,6,4,1,3971,1682,2469,280
43088,796,47.33,3.0,22.05,2.44,1.0,19.0,3.0,2,20,2,155,1268,251,1,9,3,4,6,4,1,3445,1515,2360,267
14103,999,98.63,3.0,20.5,8.15,1.0,26.0,4.0,2,27,7,239,1474,25,1,9,3,1,6,4,1,3991,1750,2500,405
74000,2143,170.0,4.0,15.8,11.0,2.0,16.0,4.0,3,21,8,197,632,278,1,102,3,4,8,1,0,4596,1770,2760,475
41285,1462,103.26,4.0,18.76,11.5,2.0,27.0,4.0,3,30,7,293,1416,477,1,8,3,1,6,4,0,3995,1790,2500,328
76554,1196,70.02,4.0,15.6,2.1,1.0,17.0,2.0,3,6,2,54,1401,244,1,8,3,4,6,4,1,3795,1680,2489,284
25119,1198,67.05,3.0,19.02,3.91,1.0,23.0,4.0,2,4,4,38,1679,339,1,102,5,1,6,4,1,3995,1636,2450,347
4977,999,113.98,3.0,20.08,15.29,2.0,27.0,4.0,2,31,7,302,51,23,1,102,3,1,6,4,1,4221,1760,2651,385
10000,1969,197.0,4.0,12.18,53.0,2.0,28.0,4.0,3,32,7,313,879,278,1,119,3,1,6,4,0,4440,1863,2425,452
85037,2997,218.0,6.0,9.0,2.5,2.0,9.0,2.0,5,8,8,68,1762,344,1,8,3,4,6,4,0,4860,1810,2425,461
2177,998,65.71,3.0,21.7,5.49,2.0,26.0,3.0,2,20,2,176,1843,296,1,119,3,4,6,4,1,3565,1520,2380,267
40511,1498,98.96,4.0,21.7,8.6,1.0,23.0,4.0,3,6,7,50,268,380,1,9,3,1,6,1,1,3998,1765,2519,352
30400,998,118.35,3.0,18.0,11.45,1.0,26.0,4.0,2,9,7,85,1587,314,1,51,3,1,6,4,1,3995,1770,2500,350
75000,1498,98.6,4.0,25.5,7.9,2.0,22.0,4.0,3,8,7,69,2106,471,1,60,3,1,6,1,1,3999,1734,2555,363
27600,999,113.98,3.0,17.2,16.5,1.0,26.0,4.0,2,28,7,246,48,16,1,98,3,1,6,4,0,4225,1760,2651,385
53908,1120,70.0,3.0,24.0,4.75,1.0,20.0,4.0,2,9,2,77,925,422,1,77,3,4,6,1,1,3765,1660,2425,256
30000,1950,191.7,4.0,16.1,57.0,2.0,25.0,4.0,3,21,8,200,1109,197,1,102,3,1,8,1,0,5063,1860,3079,540
46000,2143,201.15,4.0,17.9,49.5,2.0,22.0,4.0,3,21,7,208,633,268,1,119,3,4,4,1,0,4819,2141,2915,690
9471,1199,86.63,3.0,18.8,8.29,3.0,26.0,4.0,2,29,7,269,954,48,1,119,3,1,6,4,0,3827,1742,2445,366
12011,1199,83.83,3.0,23.84,6.48,2.0,25.0,4.0,2,29,2,273,2004,355,1,102,3,4,6,4,0,3746,1647,2400,242
85000,1598,103.6,4.0,14.4,3.75,2.0,16.0,3.0,3,31,8,305,1393,269,1,8,3,4,6,4,0,4384,1699,2552,461
27370,1591,121.3,4.0,13.0,9.64,2.0,21.0,4.0,3,9,7,73,418,450,1,119,3,4,6,4,0,4270,1780,2590,400
53098,814,55.2,3.0,21.1,2.88,2.0,21.0,3.0,2,9,2,74,1104,344,1,119,3,4,6,4,1,3495,1550,2380,215
51680,799,53.64,3.0,22.7,3.4,1.0,24.0,4.0,2,4,2,39,774,7,1,98,3,4,0,4,1,3429,1560,2348,222
35821,1497,117.6,4.0,18.0,9.06,2.0,23.0,3.0,3,8,8,63,2110,469,1,14,3,4,6,4,0,4440,1695,2600,510
60000,1999,236.7,4.0,12.07,33.0,2.0,18.0,3.0,3,14,1,114,525,366,1,50,3,4,1,4,0,4355,2120,2660,550
39323,1197,81.86,4.0,17.4,6.86,2.0,23.0,3.0,3,9,2,90,1383,320,1,9,3,4,6,4,0,3985,1734,2570,285
60799,799,53.3,3.0,25.17,3.35,2.0,21.0,4.0,2,27,2,238,1457,344,1,98,3,4,6,4,1,3679,1579,2422,300
130000,2143,170.0,4.0,14.84,13.5,2.0,19.0,3.0,3,21,8,197,623,196,1,102,3,4,8,1,0,4591,1770,2760,475
63000,2494,158.2,4.0,19.16,18.0,2.0,19.0,4.0,3,30,8,279,1213,155,1,50,3,4,6,4,0,4825,1825,2775,461
50000,2987,254.8,6.0,17.0,49.0,2.0,22.0,4.0,5,21,8,200,1051,438,1,50,3,1,8,1,0,5063,1860,3079,540
22600,1995,187.4,4.0,19.62,57.5,1.0,26.0,4.0,3,1,8,16,670,133,1,102,3,1,8,1,0,4819,1827,2961,461
30000,1462,103.25,4.0,20.65,9.0,1.0,26.0,4.0,3,20,8,163,1009,301,1,50,3,4,6,4,1,4490,1730,2650,510
58619,1591,121.3,4.0,17.0,9.0,1.0,23.0,4.0,3,9,8,86,1785,450,1,102,3,4,6,4,1,4440,1729,2600,480
23300,1497,121.31,3.0,17.0,8.9,1.0,24.0,4.0,2,6,7,50,288,396,1,14,3,4,6,4,1,3998,1765,2519,352
121032,1197,80.0,4.0,17.0,2.8,1.0,15.0,2.0,3,9,2,90,71,278,1,9,3,4,6,4,1,3940,1710,2525,267
91000,1197,78.9,4.0,20.36,2.65,2.0,15.0,4.0,3,9,2,89,1333,319,1,50,3,4,6,4,1,3585,1595,2380,267
30000,1493,113.43,4.0,20.8,12.0,2.0,25.0,4.0,3,13,7,107,1184,73,1,119,3,1,6,1,1,4315,1800,2610,433
82171,1197,83.1,4.0,21.4,5.74,2.0,24.0,3.0,3,20,2,157,85,455,1,119,3,4,6,4,1,3995,1745,2520,339
18551,1199,72.0,3.0,26.49,7.11,2.0,27.0,4.0,2,29,2,273,1935,40,1,9,3,1,6,0,1,3765,1677,2400,267
35000,998,118.41,3.0,20.28,9.6,2.0,25.0,4.0,2,9,2,90,860,20,1,9,3,1,6,4,0,3995,1775,2580,311
50252,796,47.3,3.0,24.7,2.73,2.0,21.0,4.0,2,20,2,155,1839,251,1,98,3,4,6,4,1,3430,1515,2360,177
34715,1199,88.76,4.0,19.5,5.93,2.0,24.0,3.0,3,8,8,59,1508,476,1,14,3,4,6,4,1,3995,1695,2470,420
30197,1451,141.0,4.0,13.96,17.25,1.0,25.0,4.0,3,16,7,122,1608,278,1,119,3,4,6,4,0,4655,1835,2750,587
79089,1591,121.3,4.0,13.0,8.45,1.0,23.0,3.0,3,9,7,73,422,450,1,119,3,4,6,4,1,4270,1780,2590,400
24035,1498,97.7,4.0,16.95,3.0,2.0,16.0,3.0,3,24,8,228,1911,262,1,119,3,4,6,4,1,4425,1695,2600,490
39605,1186,73.97,4.0,26.2,7.35,2.0,25.0,4.0,3,9,2,78,1652,42,1,78,3,1,6,1,1,3805,1680,2450,267
66992,998,67.0,3.0,20.51,4.07,2.0,21.0,4.0,2,20,2,184,790,295,1,9,3,4,6,4,0,3599,1495,2400,180
50000,1950,194.0,4.0,17.0,59.0,2.0,26.0,4.0,3,21,7,206,626,341,1,119,3,4,4,1,0,4658,1890,2873,550
29973,998,67.05,3.0,21.63,4.6,1.0,22.0,4.0,2,20,2,160,2055,293,1,9,3,4,6,4,1,3695,1600,2425,235
49791,799,53.3,3.0,25.17,3.6,1.0,23.0,4.0,2,27,2,238,1449,344,1,50,3,4,6,4,1,3679,1579,2422,300
52609,1451,141.0,4.0,13.96,16.5,1.0,25.0,4.0,3,16,7,122,1603,278,1,119,3,4,6,4,0,4655,1835,2750,587
70000,1198,90.0,4.0,16.0,3.6,2.0,15.0,4.0,3,8,2,66,1486,365,1,9,3,4,0,4,1,3900,1695,2500,267
23000,1199,88.7,4.0,17.5,7.0,1.0,23.0,4.0,3,8,7,69,1083,476,1,14,3,1,6,4,1,3999,1734,2555,363
52172,796,46.3,3.0,19.7,2.1,1.0,15.0,4.0,2,20,2,154,1290,278,1,102,3,4,6,4,1,3495,1475,2360,267
29041,1493,113.45,4.0,17.0,18.25,1.0,27.0,4.0,3,9,7,73,1555,79,1,98,3,4,6,1,1,4300,1790,2610,418
67022,1198,75.94,3.0,19.34,4.85,1.0,22.0,4.0,2,24,2,226,1915,269,1,9,3,4,6,4,0,3825,1665,2450,251
9900,2995,335.2,6.0,11.7,90.0,2.0,26.0,4.0,5,0,8,5,760,440,1,8,3,1,4,4,0,5302,1945,3127,461
103651,1498,108.62,4.0,21.66,5.13,3.0,21.0,3.0,3,31,8,296,328,381,1,119,3,4,6,1,1,3995,1682,2470,330
49682,1198,86.7,4.0,15.5,5.2,1.0,21.0,4.0,3,8,8,59,1493,476,1,119,3,4,6,4,0,3990,1680,2405,400
31000,1984,181.0,5.0,14.7,48.0,2.0,23.0,4.0,4,32,7,314,971,398,1,119,3,4,6,1,0,4644,2120,2774,495
53751,799,53.3,3.0,25.17,3.05,2.0,23.0,2.0,2,27,2,238,1463,344,1,78,3,4,6,4,1,3679,1579,2422,300
111283,796,47.33,3.0,22.05,2.38,2.0,20.0,3.0,2,20,2,155,1268,251,1,102,3,4,6,4,1,3445,1515,2360,267
63000,1498,89.84,4.0,22.7,5.4,2.0,18.0,3.0,3,6,7,50,260,380,1,119,3,4,6,1,1,3999,1765,2520,346
52509,1198,67.0,3.0,19.44,3.62,2.0,21.0,4.0,2,4,4,38,1680,269,1,98,5,4,6,4,1,3995,1635,2450,347
69319,1461,63.1,4.0,23.08,4.6,1.0,22.0,4.0,3,24,2,226,1040,276,1,119,3,4,6,1,1,3825,1665,2450,251
89191,998,65.71,3.0,25.24,4.51,2.0,23.0,4.0,2,20,2,160,1806,296,1,102,3,1,6,4,1,3695,1655,2435,313
123152,1198,77.0,3.0,25.32,4.42,2.0,22.0,4.0,2,17,7,133,2122,485,1,78,4,4,6,1,1,3675,1715,2385,243
65000,1968,174.33,4.0,17.68,14.8,2.0,18.0,3.0,3,0,8,4,503,382,1,8,3,4,6,1,0,4915,2086,2912,530
116413,1498,98.6,4.0,25.8,4.3,2.0,19.0,4.0,3,8,8,59,1515,471,1,102,3,4,6,1,1,3990,1680,2405,400
56000,1798,187.74,4.0,15.26,22.9,1.0,20.0,4.0,3,0,8,4,697,269,1,119,3,4,6,4,0,4933,2086,2912,530
78000,1798,187.74,4.0,15.26,20.9,1.0,20.0,4.0,3,0,8,4,698,269,1,119,3,4,6,4,0,4933,1874,2912,530
30000,1950,241.38,4.0,17.0,75.0,2.0,25.0,4.0,3,21,7,208,665,429,1,9,3,4,4,1,0,4924,2157,2995,825
2000,1991,301.73,4.0,17.0,64.5,1.0,27.0,4.0,3,21,7,193,723,188,1,119,3,1,4,4,0,4436,2020,2729,418
300,1991,301.73,4.0,18.89,59.0,2.0,27.0,4.0,3,21,8,191,723,187,1,8,3,1,4,4,0,4559,1992,2729,461
11600,1197,81.8,4.0,17.0,9.5,1.0,27.0,4.0,3,9,7,85,1495,34,1,98,3,4,6,4,1,3995,1770,2500,418
18377,1451,141.0,4.0,15.81,17.5,1.0,26.0,4.0,3,16,7,122,1215,278,1,8,3,4,6,4,1,4655,1835,2750,587
97000,1497,118.0,4.0,16.8,3.65,2.0,15.0,3.0,3,8,8,63,350,278,1,60,3,4,6,4,0,4420,1695,2550,506
75184,814,55.2,3.0,21.1,2.87,2.0,20.0,4.0,2,9,2,74,1103,344,1,102,3,4,6,4,1,3495,1550,2380,215
49387,1197,88.5,4.0,22.41,4.37,2.0,19.0,3.0,3,20,8,180,1806,278,1,102,3,1,6,4,1,3995,1735,2450,378
81000,1197,78.9,4.0,20.36,3.1,2.0,16.0,4.0,3,9,2,89,1333,319,1,46,3,4,6,4,1,3585,1595,2380,267
80320,998,67.1,3.0,18.9,2.87,2.0,15.0,4.0,2,20,2,184,1823,289,1,98,3,4,6,4,1,3595,1495,2400,267
8608,999,108.62,3.0,16.24,12.02,3.0,26.0,4.0,2,28,8,249,46,24,1,119,3,4,6,4,0,4413,1699,2552,460
23000,1591,121.3,4.0,17.0,9.75,2.0,23.0,4.0,3,9,8,86,1781,450,1,50,3,4,6,4,0,4440,1729,2600,480
96892,1461,108.5,4.0,19.01,5.15,1.0,20.0,2.0,3,24,7,229,1944,310,1,98,3,4,6,1,1,4331,2000,2673,475
75000,1461,83.8,4.0,19.87,6.65,2.0,21.0,4.0,3,27,7,236,768,465,1,8,3,4,6,1,1,4315,1822,2673,475
61237,796,47.33,3.0,22.05,2.79,1.0,21.0,4.0,2,20,2,155,1268,251,1,98,3,4,6,4,1,3445,1515,2360,267
32806,999,98.63,3.0,20.0,7.66,2.0,26.0,4.0,2,24,7,225,1731,263,1,119,3,1,6,4,1,3994,1758,2500,336
52138,999,67.0,3.0,23.01,3.8,1.0,24.0,4.0,2,27,2,238,0,344,1,119,3,4,6,4,1,3679,1579,2422,300
37429,999,75.0,3.0,19.44,5.2,1.0,21.0,4.0,2,31,8,296,12,332,1,9,3,4,6,4,1,3995,1682,2470,330
78978,998,67.05,3.0,21.79,2.6,1.0,15.0,3.0,2,20,2,184,1806,295,1,98,3,4,6,4,1,3655,1620,2435,341
100000,2982,168.5,4.0,13.0,14.75,2.0,17.0,3.0,3,30,7,285,738,205,1,119,5,4,6,1,1,4705,1840,2750,296
96000,2143,203.2,4.0,15.26,19.75,1.0,19.0,3.0,3,21,7,210,1327,236,1,14,3,4,4,1,0,4817,2141,2915,690
69000,1968,148.0,4.0,16.25,28.0,2.0,23.0,4.0,3,28,7,245,514,127,1,9,5,4,1,1,0,4697,1882,2791,270
52044,1198,86.8,4.0,19.4,4.5,1.0,20.0,4.0,3,8,2,61,1791,475,1,119,3,4,6,4,1,3610,1680,2345,175
37000,1395,150.0,4.0,19.2,24.25,1.0,24.0,4.0,3,0,8,1,700,391,1,9,3,4,6,4,0,4458,1796,2637,425
8541,999,71.01,3.0,20.0,8.4,1.0,28.0,4.0,2,27,4,243,1471,278,1,14,5,1,6,4,1,3991,1739,2425,84
30000,1598,103.2,4.0,14.84,7.1,2.0,24.0,3.0,3,28,8,249,393,344,1,60,3,4,6,4,0,4413,1699,2552,460
44768,998,67.0,3.0,21.63,4.59,2.0,23.0,4.0,2,20,2,162,798,295,1,98,3,1,6,4,0,3715,1635,2425,235
27062,1496,120.69,3.0,15.9,7.69,2.0,25.0,4.0,2,6,7,50,293,396,1,119,3,1,6,4,1,3998,1765,2519,352
46973,1591,121.3,4.0,17.0,9.0,1.0,23.0,4.0,3,9,8,86,1785,450,1,119,3,4,6,4,1,4440,1729,2600,480
22239,999,113.98,3.0,19.4,12.77,1.0,27.0,4.0,2,31,8,306,1211,23,1,119,3,1,6,4,1,4561,1752,2651,521
16455,1199,118.36,3.0,17.57,9.69,2.0,26.0,4.0,2,29,7,265,1964,60,1,102,3,4,6,4,1,3993,1811,2498,350
20000,1995,187.74,4.0,20.37,60.0,2.0,26.0,4.0,3,1,8,17,749,414,1,8,3,4,8,1,0,4936,2126,2975,520
5107,1199,86.83,3.0,18.5,9.42,2.0,27.0,4.0,2,29,2,253,1988,38,1,102,3,1,6,4,0,3990,1755,2501,345
34000,1197,81.86,4.0,20.7,6.9,1.0,27.0,4.0,3,9,2,78,1640,35,1,98,3,1,6,4,1,3805,1680,2450,267
88923,1368,160.0,4.0,16.0,12.56,2.0,23.0,4.0,3,12,7,101,227,66,1,98,3,4,2,4,0,4395,1818,2636,408
94581,998,67.1,3.0,18.9,2.88,1.0,18.0,3.0,2,20,2,184,1823,289,1,119,3,4,6,4,1,3595,1495,2400,267
71000,2993,255.0,6.0,18.0,36.0,2.0,22.0,4.0,5,14,7,110,1181,171,1,50,5,4,4,1,0,4988,2220,2922,258
30924,998,118.36,3.0,20.0,9.5,1.0,26.0,4.0,2,9,2,90,870,20,1,119,3,1,6,4,1,3995,1775,2580,311
58747,998,67.1,3.0,20.92,2.22,1.0,16.0,3.0,2,20,2,156,621,289,1,77,3,4,6,4,1,3620,1475,2360,267
63697,796,46.3,3.0,19.7,2.35,1.0,17.0,4.0,2,20,2,154,1290,278,1,98,3,4,6,4,1,3495,1475,2360,267
53000,1498,98.6,4.0,25.5,8.9,1.0,22.0,4.0,3,8,7,69,2106,471,1,102,3,1,6,1,1,3999,1734,2555,363
43000,1498,98.96,4.0,21.7,6.6,2.0,21.0,4.0,3,6,7,50,272,380,1,9,3,1,6,1,1,3998,1765,2519,352
21000,2487,214.5,4.0,19.16,39.0,2.0,25.0,4.0,3,30,8,279,1214,147,1,102,3,4,6,4,0,4885,1840,2825,461
108513,1498,98.6,4.0,25.8,3.8,2.0,18.0,3.0,3,8,8,59,1515,471,1,8,3,4,6,1,1,3990,1680,2405,400
91000,1498,103.52,4.0,21.66,6.75,2.0,20.0,4.0,3,28,8,249,319,236,1,119,3,4,6,1,0,4386,1699,2552,460
37000,2487,214.56,4.0,22.37,50.0,2.0,23.0,4.0,3,15,8,117,666,186,1,119,3,4,6,4,0,4975,1865,2870,454
71721,1498,97.89,4.0,23.7,9.71,2.0,26.0,4.0,3,8,7,69,1798,470,1,14,3,1,6,1,1,3999,1734,2555,363
39276,999,67.0,3.0,23.01,3.52,1.0,24.0,4.0,2,27,2,238,28,344,1,78,3,4,6,4,1,3679,1579,2422,300
35000,1999,177.0,4.0,19.33,23.0,2.0,19.0,4.0,3,11,8,99,470,236,1,8,3,4,8,1,0,5067,2091,2960,505
85616,1248,88.5,4.0,24.3,8.66,3.0,24.0,4.0,3,20,7,183,2023,218,1,102,3,4,6,1,0,3995,1790,2500,328
56380,1496,88.73,4.0,16.78,5.08,1.0,21.0,4.0,3,30,8,282,1123,344,1,78,3,4,6,4,1,4265,1695,2550,595
83000,1197,80.0,4.0,18.5,2.6,2.0,14.0,2.0,3,9,2,90,1333,278,1,8,3,4,6,4,1,3940,1710,2525,267
66211,1248,88.5,4.0,24.3,7.96,2.0,21.0,4.0,3,20,7,183,2022,218,1,119,3,4,6,1,1,3995,1790,2500,328
37000,1395,150.0,4.0,19.2,24.8,1.0,24.0,4.0,3,0,8,1,700,391,1,9,3,4,6,4,0,4458,1796,2637,425
60662,1197,82.0,4.0,18.9,4.34,2.0,21.0,4.0,3,9,2,77,1640,320,1,78,3,4,6,4,1,3765,1660,2425,256
24140,1199,86.63,3.0,18.8,7.82,2.0,26.0,4.0,2,29,7,269,954,48,1,119,3,1,6,4,0,3827,1742,2445,366
56000,1798,187.74,4.0,15.26,20.9,1.0,20.0,4.0,3,0,8,4,698,269,1,119,3,4,6,4,0,4933,1874,2912,530
47000,1395,147.51,4.0,16.9,24.8,1.0,22.0,4.0,3,0,7,7,660,391,1,102,3,4,6,4,0,4388,1831,2603,460
